#space_1 ell_1 scale_1 space_2 ell_2 scale_2 covariance
0 0 0.007493 0 0 0.007493 64579550.0
0 0 0.007493 0 0 0.016066 8424587.0
0 0 0.007493 0 0 0.025663 1123420.0
0 0 0.007493 0 0 0.035474 -127934.8
0 0 0.007493 0 0 0.045364 124881.2
0 0 0.007493 0 0 0.055298 -99492.18
0 0 0.007493 0 0 0.065259 -26614.7
0 0 0.007493 0 0 0.075226 51633.8
0 0 0.007493 0 0 0.0852 19430.04
0 0 0.007493 0 0 0.095179 67664.31
0 0 0.007493 0 0 0.105167 -21262.73
0 0 0.007493 0 0 0.115153 84811.06
0 0 0.007493 0 0 0.125138 14275.99
0 0 0.007493 0 0 0.135129 19004.58
0 0 0.007493 0 0 0.145115 -7632.76
0 0 0.007493 0 0 0.15511 19558.27
0 0 0.007493 0 0 0.165106 -9792.099
0 0 0.007493 0 0 0.175099 25419.37
0 0 0.007493 0 0 0.185092 695.6457
0 0 0.007493 0 0 0.195086 -12125.6
0 0 0.007493 0 0 0.205085 14184.39
0 0 0.007493 0 0 0.215079 17685.49
0 0 0.007493 0 0 0.225074 1960.538
0 0 0.007493 0 0 0.235071 1382.44
0 0 0.007493 0 0 0.245068 -8265.016
0 0 0.007493 0 0 0.255064 10885.81
0 0 0.007493 0 0 0.265062 -1678.862
0 0 0.007493 0 0 0.275059 6952.203
0 0 0.007493 0 0 0.285055 5194.776
0 0 0.007493 0 0 0.295057 -3827.359
0 0 0.007493 0 0 0.305058 12.21428
0 0 0.007493 0 0 0.315054 -5755.724
0 0 0.007493 0 2 0.007493 -8073254.0
0 0 0.007493 0 2 0.016066 13524570.0
0 0 0.007493 0 2 0.025663 2387817.0
0 0 0.007493 0 2 0.035474 665152.5
0 0 0.007493 0 2 0.045364 -957193.7
0 0 0.007493 0 2 0.055298 -405917.7
0 0 0.007493 0 2 0.065259 -44322.19
0 0 0.007493 0 2 0.075226 -50063.29
0 0 0.007493 0 2 0.0852 54192.75
0 0 0.007493 0 2 0.095179 54278.05
0 0 0.007493 0 2 0.105167 -40668.18
0 0 0.007493 0 2 0.115153 -17588.77
0 0 0.007493 0 2 0.125138 169483.6
0 0 0.007493 0 2 0.135129 -70929.91
0 0 0.007493 0 2 0.145115 -79929.18
0 0 0.007493 0 2 0.15511 -9158.466
0 0 0.007493 0 2 0.165106 18096.62
0 0 0.007493 0 2 0.175099 14861.17
0 0 0.007493 0 2 0.185092 60656.34
0 0 0.007493 0 2 0.195086 40174.29
0 0 0.007493 0 2 0.205085 -11313.79
0 0 0.007493 0 2 0.215079 -29550.3
0 0 0.007493 0 2 0.225074 5462.889
0 0 0.007493 0 2 0.235071 11819.88
0 0 0.007493 0 2 0.245068 15442.02
0 0 0.007493 0 2 0.255064 -9572.89
0 0 0.007493 0 2 0.265062 -31971.63
0 0 0.007493 0 2 0.275059 -45327.34
0 0 0.007493 0 2 0.285055 -10411.32
0 0 0.007493 0 2 0.295057 -25352.36
0 0 0.007493 0 2 0.305058 -9331.315
0 0 0.007493 0 2 0.315054 -12149.74
0 0 0.016066 0 0 0.007493 8424587.0
0 0 0.016066 0 0 0.016066 14958390.0
0 0 0.016066 0 0 0.025663 2100646.0
0 0 0.016066 0 0 0.035474 146094.4
0 0 0.016066 0 0 0.045364 125581.5
0 0 0.016066 0 0 0.055298 -68757.46
0 0 0.016066 0 0 0.065259 -33981.45
0 0 0.016066 0 0 0.075226 82446.82
0 0 0.016066 0 0 0.0852 -29721.75
0 0 0.016066 0 0 0.095179 -78462.72
0 0 0.016066 0 0 0.105167 -39648.07
0 0 0.016066 0 0 0.115153 5398.899
0 0 0.016066 0 0 0.125138 18923.67
0 0 0.016066 0 0 0.135129 7055.809
0 0 0.016066 0 0 0.145115 -8100.506
0 0 0.016066 0 0 0.15511 12554.15
0 0 0.016066 0 0 0.165106 7412.914
0 0 0.016066 0 0 0.175099 4985.974
0 0 0.016066 0 0 0.185092 -102.0151
0 0 0.016066 0 0 0.195086 4531.901
0 0 0.016066 0 0 0.205085 -17.86065
0 0 0.016066 0 0 0.215079 4682.598
0 0 0.016066 0 0 0.225074 6594.015
0 0 0.016066 0 0 0.235071 -2560.646
0 0 0.016066 0 0 0.245068 1661.648
0 0 0.016066 0 0 0.255064 -175.2068
0 0 0.016066 0 0 0.265062 -4880.825
0 0 0.016066 0 0 0.275059 1814.706
0 0 0.016066 0 0 0.285055 3087.442
0 0 0.016066 0 0 0.295057 7911.209
0 0 0.016066 0 0 0.305058 -1719.324
0 0 0.016066 0 0 0.315054 -2741.563
0 0 0.016066 0 2 0.007493 -481991.1
0 0 0.016066 0 2 0.016066 -4269229.0
0 0 0.016066 0 2 0.025663 2336276.0
0 0 0.016066 0 2 0.035474 675039.4
0 0 0.016066 0 2 0.045364 165111.6
0 0 0.016066 0 2 0.055298 210324.2
0 0 0.016066 0 2 0.065259 34872.32
0 0 0.016066 0 2 0.075226 -14606.64
0 0 0.016066 0 2 0.0852 8640.21
0 0 0.016066 0 2 0.095179 68426.87
0 0 0.016066 0 2 0.105167 64464.74
0 0 0.016066 0 2 0.115153 -105753.3
0 0 0.016066 0 2 0.125138 -20362.64
0 0 0.016066 0 2 0.135129 -41398.34
0 0 0.016066 0 2 0.145115 -9654.23
0 0 0.016066 0 2 0.15511 5265.224
0 0 0.016066 0 2 0.165106 33456.76
0 0 0.016066 0 2 0.175099 46180.87
0 0 0.016066 0 2 0.185092 11638.43
0 0 0.016066 0 2 0.195086 20202.77
0 0 0.016066 0 2 0.205085 -2097.187
0 0 0.016066 0 2 0.215079 13963.48
0 0 0.016066 0 2 0.225074 17082.85
0 0 0.016066 0 2 0.235071 -4641.778
0 0 0.016066 0 2 0.245068 14936.29
0 0 0.016066 0 2 0.255064 -13183.04
0 0 0.016066 0 2 0.265062 1515.048
0 0 0.016066 0 2 0.275059 -17398.05
0 0 0.016066 0 2 0.285055 -793.3303
0 0 0.016066 0 2 0.295057 -8651.949
0 0 0.016066 0 2 0.305058 5746.11
0 0 0.016066 0 2 0.315054 14006.1
0 0 0.025663 0 0 0.007493 1123420.0
0 0 0.025663 0 0 0.016066 2100646.0
0 0 0.025663 0 0 0.025663 4777444.0
0 0 0.025663 0 0 0.035474 556332.0
0 0 0.025663 0 0 0.045364 -8202.994
0 0 0.025663 0 0 0.055298 -27557.94
0 0 0.025663 0 0 0.065259 -42891.28
0 0 0.025663 0 0 0.075226 23213.65
0 0 0.025663 0 0 0.0852 -8958.782
0 0 0.025663 0 0 0.095179 -30465.13
0 0 0.025663 0 0 0.105167 -4926.761
0 0 0.025663 0 0 0.115153 -4158.11
0 0 0.025663 0 0 0.125138 -1518.375
0 0 0.025663 0 0 0.135129 -4341.48
0 0 0.025663 0 0 0.145115 -278.4685
0 0 0.025663 0 0 0.15511 -4288.566
0 0 0.025663 0 0 0.165106 1852.106
0 0 0.025663 0 0 0.175099 5468.696
0 0 0.025663 0 0 0.185092 -4843.752
0 0 0.025663 0 0 0.195086 1478.939
0 0 0.025663 0 0 0.205085 4391.565
0 0 0.025663 0 0 0.215079 7163.981
0 0 0.025663 0 0 0.225074 2174.964
0 0 0.025663 0 0 0.235071 -1740.283
0 0 0.025663 0 0 0.245068 890.8857
0 0 0.025663 0 0 0.255064 2164.085
0 0 0.025663 0 0 0.265062 -2031.291
0 0 0.025663 0 0 0.275059 -1289.667
0 0 0.025663 0 0 0.285055 5335.7
0 0 0.025663 0 0 0.295057 1101.879
0 0 0.025663 0 0 0.305058 3037.624
0 0 0.025663 0 0 0.315054 999.0271
0 0 0.025663 0 2 0.007493 -846917.5
0 0 0.025663 0 2 0.016066 -444568.6
0 0 0.025663 0 2 0.025663 -1946412.0
0 0 0.025663 0 2 0.035474 657129.1
0 0 0.025663 0 2 0.045364 -8679.689
0 0 0.025663 0 2 0.055298 1744.9
0 0 0.025663 0 2 0.065259 80999.31
0 0 0.025663 0 2 0.075226 157743.1
0 0 0.025663 0 2 0.0852 29979.66
0 0 0.025663 0 2 0.095179 -9982.792
0 0 0.025663 0 2 0.105167 14152.01
0 0 0.025663 0 2 0.115153 -36689.46
0 0 0.025663 0 2 0.125138 -1145.584
0 0 0.025663 0 2 0.135129 6428.623
0 0 0.025663 0 2 0.145115 -1486.454
0 0 0.025663 0 2 0.15511 -13448.27
0 0 0.025663 0 2 0.165106 -2733.511
0 0 0.025663 0 2 0.175099 14834.95
0 0 0.025663 0 2 0.185092 8796.727
0 0 0.025663 0 2 0.195086 1402.401
0 0 0.025663 0 2 0.205085 -3481.785
0 0 0.025663 0 2 0.215079 8477.832
0 0 0.025663 0 2 0.225074 -7101.033
0 0 0.025663 0 2 0.235071 12372.8
0 0 0.025663 0 2 0.245068 5900.723
0 0 0.025663 0 2 0.255064 11925.7
0 0 0.025663 0 2 0.265062 5526.183
0 0 0.025663 0 2 0.275059 673.5271
0 0 0.025663 0 2 0.285055 6410.698
0 0 0.025663 0 2 0.295057 3128.427
0 0 0.025663 0 2 0.305058 -8645.69
0 0 0.025663 0 2 0.315054 10647.98
0 0 0.035474 0 0 0.007493 -127934.8
0 0 0.035474 0 0 0.016066 146094.4
0 0 0.035474 0 0 0.025663 556332.0
0 0 0.035474 0 0 0.035474 1587585.0
0 0 0.035474 0 0 0.045364 184840.3
0 0 0.035474 0 0 0.055298 -29983.18
0 0 0.035474 0 0 0.065259 -37712.7
0 0 0.035474 0 0 0.075226 -21875.01
0 0 0.035474 0 0 0.0852 -1918.567
0 0 0.035474 0 0 0.095179 -3564.391
0 0 0.035474 0 0 0.105167 -13635.28
0 0 0.035474 0 0 0.115153 -1460.479
0 0 0.035474 0 0 0.125138 6212.168
0 0 0.035474 0 0 0.135129 -1224.712
0 0 0.035474 0 0 0.145115 300.7803
0 0 0.035474 0 0 0.15511 -31.45598
0 0 0.035474 0 0 0.165106 -1656.689
0 0 0.035474 0 0 0.175099 43.18314
0 0 0.035474 0 0 0.185092 -2714.911
0 0 0.035474 0 0 0.195086 -4106.004
0 0 0.035474 0 0 0.205085 330.9474
0 0 0.035474 0 0 0.215079 773.2733
0 0 0.035474 0 0 0.225074 2019.895
0 0 0.035474 0 0 0.235071 -2210.988
0 0 0.035474 0 0 0.245068 344.609
0 0 0.035474 0 0 0.255064 947.7346
0 0 0.035474 0 0 0.265062 -323.0456
0 0 0.035474 0 0 0.275059 633.0365
0 0 0.035474 0 0 0.285055 1438.683
0 0 0.035474 0 0 0.295057 552.8454
0 0 0.035474 0 0 0.305058 1002.367
0 0 0.035474 0 0 0.315054 1040.167
0 0 0.035474 0 2 0.007493 -355794.4
0 0 0.035474 0 2 0.016066 -316621.9
0 0 0.035474 0 2 0.025663 279814.9
0 0 0.035474 0 2 0.035474 -365972.8
0 0 0.035474 0 2 0.045364 227607.4
0 0 0.035474 0 2 0.055298 69609.56
0 0 0.035474 0 2 0.065259 -28156.47
0 0 0.035474 0 2 0.075226 31442.59
0 0 0.035474 0 2 0.0852 -2099.934
0 0 0.035474 0 2 0.095179 -5446.971
0 0 0.035474 0 2 0.105167 31783.82
0 0 0.035474 0 2 0.115153 16959.81
0 0 0.035474 0 2 0.125138 8038.389
0 0 0.035474 0 2 0.135129 -17021.01
0 0 0.035474 0 2 0.145115 -27429.93
0 0 0.035474 0 2 0.15511 -13831.97
