#space ell scale correlation
0 0 0.007493 61772.593856
0 0 0.016066 47311.375735
0 0 0.025663 35894.401526
0 0 0.035474 31139.926118
0 0 0.045364 24961.419664
0 0 0.055298 22155.389637
0 0 0.065259 19511.411425
0 0 0.075226 17024.471534
0 0 0.0852 14804.077452
0 0 0.095179 12796.18785
0 0 0.105167 10826.766314
0 0 0.115153 9816.75764
0 0 0.125138 9235.809407
0 0 0.135129 8279.770296
0 0 0.145115 7355.973185
0 0 0.15511 6489.904173
0 0 0.165106 5742.376026
0 0 0.175099 5274.583856
0 0 0.185092 5128.012224
0 0 0.195086 4653.513347
0 0 0.205085 4215.068228
0 0 0.215079 3846.056493
0 0 0.225074 3372.274283
0 0 0.235071 3134.125487
0 0 0.245068 3040.906105
0 0 0.255064 2759.414837
0 0 0.265062 2649.755424
0 0 0.275059 2347.282427
0 0 0.285055 2268.188567
0 0 0.295057 2161.611437
0 0 0.305058 1991.834931
0 0 0.315054 1915.389816
0 2 0.007493 37086.570267
0 2 0.016066 -12196.967387
0 2 0.025663 -1511.576692
0 2 0.035474 -2857.763334
0 2 0.045364 -4302.173601
0 2 0.055298 -3464.605315
0 2 0.065259 -652.599959
0 2 0.075226 -866.09931
0 2 0.0852 -1085.51005
0 2 0.095179 -539.686317
0 2 0.105167 291.718054
0 2 0.115153 499.950273
0 2 0.125138 1381.235493
0 2 0.135129 1123.922443
0 2 0.145115 951.805554
0 2 0.15511 333.94597
0 2 0.165106 620.700459
0 2 0.175099 795.91727
0 2 0.185092 849.943015
0 2 0.195086 647.862383
0 2 0.205085 164.955751
0 2 0.215079 149.728738
0 2 0.225074 -50.212028
0 2 0.235071 201.361689
0 2 0.245068 154.05377
0 2 0.255064 -198.489462
0 2 0.265062 -76.076658
0 2 0.275059 -290.190567
0 2 0.285055 -279.477626
0 2 0.295057 -254.356585
0 2 0.305058 -74.726194
0 2 0.315054 -265.845995
